Radix sort logs:
Quantity of items, time
1000, 0.0010018348693847656
1000, 0.0010025501251220703
1000, 0.001003265380859375
1000, 0.0010046958923339844
1000, 0.0010025501251220703
1000, 0.0010025501251220703
1000, 0.0020072460174560547
1000, 0.001004934310913086
1000, 0.0010030269622802734
1000, 0.0010030269622802734
1000, 0.0010037422180175781
1000, 0.0010030269622802734
1000, 0.0010030269622802734
1000, 0.002007007598876953
1000, 0.0010027885437011719
1000, 0.0020062923431396484
1000, 0.0020062923431396484
1000, 0.0010030269622802734
1000, 0.0010020732879638672
1000, 0.001003265380859375
